space,case_index,canonical_key,step,credit_cross_entropy
level1_no_side_info,0,"[[0,0,0,1],[0,0,1,0],[1,1,1,0]]",0,0.09116077839697723
level1_no_side_info,0,"[[0,0,0,1],[0,0,1,0],[1,1,1,0]]",1,0.18904992830644018
level1_no_side_info,0,"[[0,0,0,1],[0,0,1,0],[1,1,1,0]]",2,0.2524638005059724
level1_no_side_info,0,"[[0,0,0,1],[0,0,1,0],[1,1,1,0]]",4,0.32818826165444615
level1_no_side_info,0,"[[0,0,0,1],[0,0,1,0],[1,1,1,0]]",8,0.39529450909261066
level1_no_side_info,0,"[[0,0,0,1],[0,0,1,0],[1,1,1,0]]",16,0.437889587382303
level1_no_side_info,0,"[[0,0,0,1],[0,0,1,0],[1,1,1,0]]",32,0.4591604014488582
level1_no_side_info,1,"[[0,0,0,1],[0,0,1,1],[0,0,0,1]]",0,0.12770640594149762
level1_no_side_info,1,"[[0,0,0,1],[0,0,1,1],[0,0,0,1]]",1,0.17222110816970537
level1_no_side_info,1,"[[0,0,0,1],[0,0,1,1],[0,0,0,1]]",2,0.20360163585391394
level1_no_side_info,1,"[[0,0,0,1],[0,0,1,1],[0,0,0,1]]",4,0.24403160418802308
level1_no_side_info,1,"[[0,0,0,1],[0,0,1,1],[0,0,0,1]]",8,0.283888863052168
level1_no_side_info,1,"[[0,0,0,1],[0,0,1,1],[0,0,0,1]]",16,0.31299829146016844
level1_no_side_info,1,"[[0,0,0,1],[0,0,1,1],[0,0,0,1]]",32,0.3297837175269643
level1_no_side_info,2,"[[0,0,0,1],[0,1,0,0],[1,1,1,0]]",0,0.09116077839697723
level1_no_side_info,2,"[[0,0,0,1],[0,1,0,0],[1,1,1,0]]",1,0.18904992830644018
level1_no_side_info,2,"[[0,0,0,1],[0,1,0,0],[1,1,1,0]]",2,0.2524638005059724
level1_no_side_info,2,"[[0,0,0,1],[0,1,0,0],[1,1,1,0]]",4,0.32818826165444626
level1_no_side_info,2,"[[0,0,0,1],[0,1,0,0],[1,1,1,0]]",8,0.39529450909261066
level1_no_side_info,2,"[[0,0,0,1],[0,1,0,0],[1,1,1,0]]",16,0.437889587382303
level1_no_side_info,2,"[[0,0,0,1],[0,1,0,0],[1,1,1,0]]",32,0.4591604014488582
level1_no_side_info,3,"[[0,0,0,1],[0,1,0,1],[0,0,0,1]]",0,0.12770640594149762
level1_no_side_info,3,"[[0,0,0,1],[0,1,0,1],[0,0,0,1]]",1,0.17222110816970537
level1_no_side_info,3,"[[0,0,0,1],[0,1,0,1],[0,0,0,1]]",2,0.20360163585391394
level1_no_side_info,3,"[[0,0,0,1],[0,1,0,1],[0,0,0,1]]",4,0.24403160418802308
level1_no_side_info,3,"[[0,0,0,1],[0,1,0,1],[0,0,0,1]]",8,0.28388886305216804
level1_no_side_info,3,"[[0,0,0,1],[0,1,0,1],[0,0,0,1]]",16,0.31299829146016844
level1_no_side_info,3,"[[0,0,0,1],[0,1,0,1],[0,0,0,1]]",32,0.3297837175269643
level1_no_side_info,4,"[[0,0,0,1],[0,1,1,0],[1,1,1,0]]",0,0.12770640594149762
level1_no_side_info,4,"[[0,0,0,1],[0,1,1,0],[1,1,1,0]]",1,0.17222110816970537
level1_no_side_info,4,"[[0,0,0,1],[0,1,1,0],[1,1,1,0]]",2,0.20360163585391394
level1_no_side_info,4,"[[0,0,0,1],[0,1,1,0],[1,1,1,0]]",4,0.24403160418802308
level1_no_side_info,4,"[[0,0,0,1],[0,1,1,0],[1,1,1,0]]",8,0.28388886305216804
level1_no_side_info,4,"[[0,0,0,1],[0,1,1,0],[1,1,1,0]]",16,0.31299829146016844
level1_no_side_info,4,"[[0,0,0,1],[0,1,1,0],[1,1,1,0]]",32,0.3297837175269643
level1_no_side_info,5,"[[0,0,0,1],[0,1,1,1],[0,0,0,1]]",0,0.09116077839697723
level1_no_side_info,5,"[[0,0,0,1],[0,1,1,1],[0,0,0,1]]",1,0.18904992830644018
level1_no_side_info,5,"[[0,0,0,1],[0,1,1,1],[0,0,0,1]]",2,0.2524638005059724
level1_no_side_info,5,"[[0,0,0,1],[0,1,1,1],[0,0,0,1]]",4,0.32818826165444626
level1_no_side_info,5,"[[0,0,0,1],[0,1,1,1],[0,0,0,1]]",8,0.39529450909261066
level1_no_side_info,5,"[[0,0,0,1],[0,1,1,1],[0,0,0,1]]",16,0.437889587382303
level1_no_side_info,5,"[[0,0,0,1],[0,1,1,1],[0,0,0,1]]",32,0.4591604014488582
level1_no_side_info,6,"[[0,0,0,1],[0,1,1,1],[0,0,0,1]]",0,0.09116077839697723
level1_no_side_info,6,"[[0,0,0,1],[0,1,1,1],[0,0,0,1]]",1,0.18904992830644018
level1_no_side_info,6,"[[0,0,0,1],[0,1,1,1],[0,0,0,1]]",2,0.2524638005059724
level1_no_side_info,6,"[[0,0,0,1],[0,1,1,1],[0,0,0,1]]",4,0.32818826165444626
level1_no_side_info,6,"[[0,0,0,1],[0,1,1,1],[0,0,0,1]]",8,0.39529450909261066
level1_no_side_info,6,"[[0,0,0,1],[0,1,1,1],[0,0,0,1]]",16,0.437889587382303
level1_no_side_info,6,"[[0,0,0,1],[0,1,1,1],[0,0,0,1]]",32,0.4591604014488582
level1_no_side_info,7,"[[0,0,0,1],[0,1,1,0],[1,1,1,0]]",0,0.12770640594149762
level1_no_side_info,7,"[[0,0,0,1],[0,1,1,0],[1,1,1,0]]",1,0.17222110816970537
level1_no_side_info,7,"[[0,0,0,1],[0,1,1,0],[1,1,1,0]]",2,0.20360163585391394
level1_no_side_info,7,"[[0,0,0,1],[0,1,1,0],[1,1,1,0]]",4,0.24403160418802308
level1_no_side_info,7,"[[0,0,0,1],[0,1,1,0],[1,1,1,0]]",8,0.28388886305216804
level1_no_side_info,7,"[[0,0,0,1],[0,1,1,0],[1,1,1,0]]",16,0.31299829146016844
level1_no_side_info,7,"[[0,0,0,1],[0,1,1,0],[1,1,1,0]]",32,0.3297837175269643
level1_no_side_info,8,"[[0,0,0,1],[0,1,0,1],[0,0,0,1]]",0,0.12770640594149762
level1_no_side_info,8,"[[0,0,0,1],[0,1,0,1],[0,0,0,1]]",1,0.17222110816970537
level1_no_side_info,8,"[[0,0,0,1],[0,1,0,1],[0,0,0,1]]",2,0.20360163585391394
level1_no_side_info,8,"[[0,0,0,1],[0,1,0,1],[0,0,0,1]]",4,0.24403160418802308
level1_no_side_info,8,"[[0,0,0,1],[0,1,0,1],[0,0,0,1]]",8,0.28388886305216804
level1_no_side_info,8,"[[0,0,0,1],[0,1,0,1],[0,0,0,1]]",16,0.31299829146016844
level1_no_side_info,8,"[[0,0,0,1],[0,1,0,1],[0,0,0,1]]",32,0.3297837175269643
level1_no_side_info,9,"[[0,0,0,1],[0,1,0,0],[1,1,1,0]]",0,0.09116077839697723
level1_no_side_info,9,"[[0,0,0,1],[0,1,0,0],[1,1,1,0]]",1,0.18904992830644018
level1_no_side_info,9,"[[0,0,0,1],[0,1,0,0],[1,1,1,0]]",2,0.2524638005059724
level1_no_side_info,9,"[[0,0,0,1],[0,1,0,0],[1,1,1,0]]",4,0.32818826165444626
level1_no_side_info,9,"[[0,0,0,1],[0,1,0,0],[1,1,1,0]]",8,0.39529450909261066
level1_no_side_info,9,"[[0,0,0,1],[0,1,0,0],[1,1,1,0]]",16,0.437889587382303
level1_no_side_info,9,"[[0,0,0,1],[0,1,0,0],[1,1,1,0]]",32,0.4591604014488582
level1_no_side_info,10,"[[0,0,0,1],[0,0,1,1],[0,0,0,1]]",0,0.12770640594149762
level1_no_side_info,10,"[[0,0,0,1],[0,0,1,1],[0,0,0,1]]",1,0.17222110816970537
level1_no_side_info,10,"[[0,0,0,1],[0,0,1,1],[0,0,0,1]]",2,0.20360163585391394
level1_no_side_info,10,"[[0,0,0,1],[0,0,1,1],[0,0,0,1]]",4,0.24403160418802308
level1_no_side_info,10,"[[0,0,0,1],[0,0,1,1],[0,0,0,1]]",8,0.283888863052168
level1_no_side_info,10,"[[0,0,0,1],[0,0,1,1],[0,0,0,1]]",16,0.31299829146016844
level1_no_side_info,10,"[[0,0,0,1],[0,0,1,1],[0,0,0,1]]",32,0.3297837175269643
level1_no_side_info,11,"[[0,0,0,1],[0,0,1,0],[1,1,1,0]]",0,0.09116077839697723
level1_no_side_info,11,"[[0,0,0,1],[0,0,1,0],[1,1,1,0]]",1,0.18904992830644018
level1_no_side_info,11,"[[0,0,0,1],[0,0,1,0],[1,1,1,0]]",2,0.2524638005059724
level1_no_side_info,11,"[[0,0,0,1],[0,0,1,0],[1,1,1,0]]",4,0.32818826165444615
level1_no_side_info,11,"[[0,0,0,1],[0,0,1,0],[1,1,1,0]]",8,0.39529450909261066
level1_no_side_info,11,"[[0,0,0,1],[0,0,1,0],[1,1,1,0]]",16,0.437889587382303
level1_no_side_info,11,"[[0,0,0,1],[0,0,1,0],[1,1,1,0]]",32,0.4591604014488582
level1_no_side_info,12,"[[0,0,1,0],[0,0,0,1],[1,1,0,1]]",0,0.09116077839697728
level1_no_side_info,12,"[[0,0,1,0],[0,0,0,1],[1,1,0,1]]",1,0.18904992830644018
level1_no_side_info,12,"[[0,0,1,0],[0,0,0,1],[1,1,0,1]]",2,0.2524638005059724
level1_no_side_info,12,"[[0,0,1,0],[0,0,0,1],[1,1,0,1]]",4,0.32818826165444626
level1_no_side_info,12,"[[0,0,1,0],[0,0,0,1],[1,1,0,1]]",8,0.39529450909261055
level1_no_side_info,12,"[[0,0,1,0],[0,0,0,1],[1,1,0,1]]",16,0.437889587382303
level1_no_side_info,12,"[[0,0,1,0],[0,0,0,1],[1,1,0,1]]",32,0.4591604014488582
level1_no_side_info,13,"[[0,0,1,0],[0,0,1,1],[0,0,1,0]]",0,0.12770640594149762
level1_no_side_info,13,"[[0,0,1,0],[0,0,1,1],[0,0,1,0]]",1,0.17222110816970537
level1_no_side_info,13,"[[0,0,1,0],[0,0,1,1],[0,0,1,0]]",2,0.20360163585391394
level1_no_side_info,13,"[[0,0,1,0],[0,0,1,1],[0,0,1,0]]",4,0.2440316041880231
level1_no_side_info,13,"[[0,0,1,0],[0,0,1,1],[0,0,1,0]]",8,0.283888863052168
level1_no_side_info,13,"[[0,0,1,0],[0,0,1,1],[0,0,1,0]]",16,0.31299829146016844
level1_no_side_info,13,"[[0,0,1,0],[0,0,1,1],[0,0,1,0]]",32,0.3297837175269643
level1_no_side_info,14,"[[0,0,1,0],[0,1,0,0],[1,1,0,1]]",0,0.09116077839697728
level1_no_side_info,14,"[[0,0,1,0],[0,1,0,0],[1,1,0,1]]",1,0.18904992830644018
level1_no_side_info,14,"[[0,0,1,0],[0,1,0,0],[1,1,0,1]]",2,0.2524638005059724
level1_no_side_info,14,"[[0,0,1,0],[0,1,0,0],[1,1,0,1]]",4,0.32818826165444615
level1_no_side_info,14,"[[0,0,1,0],[0,1,0,0],[1,1,0,1]]",8,0.39529450909261066
level1_no_side_info,14,"[[0,0,1,0],[0,1,0,0],[1,1,0,1]]",16,0.437889587382303
level1_no_side_info,14,"[[0,0,1,0],[0,1,0,0],[1,1,0,1]]",32,0.4591604014488582
level1_no_side_info,15,"[[0,0,1,0],[0,1,0,1],[1,1,0,1]]",0,0.12770640594149768
level1_no_side_info,15,"[[0,0,1,0],[0,1,0,1],[1,1,0,1]]",1,0.17222110816970532
level1_no_side_info,15,"[[0,0,1,0],[0,1,0,1],[1,1,0,1]]",2,0.20360163585391394
level1_no_side_info,15,"[[0,0,1,0],[0,1,0,1],[1,1,0,1]]",4,0.2440316041880231
level1_no_side_info,15,"[[0,0,1,0],[0,1,0,1],[1,1,0,1]]",8,0.28388886305216804
level1_no_side_info,15,"[[0,0,1,0],[0,1,0,1],[1,1,0,1]]",16,0.31299829146016844
level1_no_side_info,15,"[[0,0,1,0],[0,1,0,1],[1,1,0,1]]",32,0.3297837175269643
level1_no_side_info,16,"[[0,0,1,0],[0,1,1,0],[0,0,1,0]]",0,0.12770640594149768
level1_no_side_info,16,"[[0,0,1,0],[0,1,1,0],[0,0,1,0]]",1,0.17222110816970532
level1_no_side_info,16,"[[0,0,1,0],[0,1,1,0],[0,0,1,0]]",2,0.20360163585391394
level1_no_side_info,16,"[[0,0,1,0],[0,1,1,0],[0,0,1,0]]",4,0.2440316041880231
level1_no_side_info,16,"[[0,0,1,0],[0,1,1,0],[0,0,1,0]]",8,0.28388886305216804
level1_no_side_info,16,"[[0,0,1,0],[0,1,1,0],[0,0,1,0]]",16,0.31299829146016844
level1_no_side_info,16,"[[0,0,1,0],[0,1,1,0],[0,0,1,0]]",32,0.3297837175269643
level1_no_side_info,17,"[[0,0,1,0],[0,1,1,1],[0,0,1,0]]",0,0.09116077839697728
level1_no_side_info,17,"[[0,0,1,0],[0,1,1,1],[0,0,1,0]]",1,0.18904992830644018
